Name,Email,Phone Number,Age,Crisis Type,Skills
Michael Mann,rwhite@example.org,(571)282-4346x00794,33,Severe Local Storm,"Crisis communication, Heavy equipment operation, Search and rescue, Weather forecasting, Community rebuilding"
Grace Escobar,jennifer45@example.com,001-605-487-8759x353,51,Severe Local Storm,"Crisis communication, Heavy equipment operation, Search and rescue, Weather forecasting, Community rebuilding"
Renee Butler,ryan72@example.net,551.439.0630x8156,31,Heat Wave,"Cooling centers, Hydration stations, Health monitoring, Public awareness campaigns, Elderly assistance"
Dale Duncan,garciaclinton@example.org,761.978.6161,53,Drought,"Water conservation, Agricultural assistance, Climate resilience, Community support programs, Sustainable practices"
Jennifer Matthews,mcfarlandchristine@example.com,895.250.0029,64,Heat Wave,"Cooling centers, Hydration stations, Health monitoring, Public awareness campaigns, Elderly assistance"
Douglas Mooney,peterobrien@example.com,756-227-3158x94231,27,Wild Fire,"Firefighting, Evacuation procedures, Fire prevention, Reforestation, Wildlife protection"
Misty White,wandasmith@example.com,+1-713-725-1038x1328,36,Epidemic,"Disease surveillance, Public health education, Vaccination campaigns, Epidemiological tracking, Quarantine management"
John Gonzalez,mark48@example.com,001-609-413-5935x389,68,Tropical Cyclone,"Emergency management, Evacuation coordination, Storm tracking, Public safety, Infrastructure protection"
Mark Bush,richardspencer@example.net,426.776.1277,36,Epidemic,"Disease surveillance, Public health education, Vaccination campaigns, Epidemiological tracking, Quarantine management"
Joann Sanford,fieldsashlee@example.org,(816)970-4973,60,Wild Fire,"Firefighting, Evacuation procedures, Fire prevention, Reforestation, Wildlife protection"
